time,trig,echo
0.00185902,-0.0204544,4.8143
0.00186154,-0.0167751,4.80314
0.00186406,-0.0130959,4.81058
0.00186658,-0.0130959,4.80686
0.0018691,-0.0167751,4.80686
0.00187162,-0.0204544,4.80686
0.00187414,-0.0204544,4.81058
0.00187666,-0.0241336,4.81058
0.00187918,-0.0204544,4.80686
0.0018817,-0.0204544,4.8143
0.00188422,-0.0204544,4.8143
0.00188674,-0.0204544,4.80686
0.00188926,-0.0167751,4.80686
0.00189178,-0.0204544,4.81058
0.0018943,-0.0204544,4.82173
0.00189682,-0.0204544,4.81058
0.00189934,-0.0241336,4.81058
0.00190186,-0.0204544,4.8143
0.00190438,-0.0167751,4.80314
0.0019069,-0.0241336,4.80314
0.00190942,-0.0204544,4.8143
0.00191194,-0.0167751,4.81058
0.00191446,-0.0204544,4.81058
0.00191698,-0.0167751,4.8143
0.0019195,-0.0130959,4.80686
0.00192202,-0.0241336,4.81058
0.00192454,-0.0204544,4.81058
0.00192706,-0.0204544,4.8143
0.00192958,-0.0204544,4.8143
0.0019321,-0.0241336,4.8143
0.00193462,-0.0241336,4.81058
0.00193714,-0.0204544,4.80686
0.00193966,-0.0167751,4.80314
0.00194218,-0.0167751,4.81058
0.0019447,-0.0167751,4.81058
0.00194722,-0.0167751,4.81802
0.00194974,-0.0167751,4.80686
0.00195226,-0.0167751,4.80686
0.00195478,-0.0204544,4.81058
0.0019573,-0.0241336,4.8143
0.00195982,-0.0204544,4.81058
0.00196234,-0.0204544,4.81058
0.00196486,-0.0241336,4.81058
0.00196738,-0.0130959,4.80686
0.0019699,-0.0204544,4.80686
0.00197242,-0.0130959,4.80686
0.00197494,-0.0241336,4.81058
0.00197746,-0.0278129,4.80686
0.00197998,-0.0130959,4.80686
0.0019825,-0.0204544,4.81058
0.00198502,-0.0241336,4.8143
0.00198754,-0.0204544,4.80686
0.00199006,-0.0204544,4.80686
0.00199258,-0.0241336,4.81058
0.0019951,-0.0241336,4.81058
0.00199762,-0.0204544,4.8143
0.00200014,-0.0167751,4.81058
0.00200266,-0.0130959,4.80686
0.00200518,-0.0167751,4.81058
0.0020077,-0.0204544,4.81058
0.00201022,-0.0204544,4.81802
0.00201274,-0.0204544,4.80686
0.00201526,-0.0204544,4.81058
0.00201778,-0.0204544,4.81058
0.0020203,-0.0204544,4.8143
0.00202282,-0.0167751,4.81058
0.00202534,-0.0204544,4.81058
0.00202786,-0.0204544,4.81058
0.00203038,-0.0204544,4.81058
0.0020329,-0.0167751,4.80686
0.00203542,-0.0204544,4.81058
0.00203794,-0.0241336,4.8143
0.00204046,-0.0241336,4.80314
0.00204298,-0.0204544,4.81058
0.0020455,-0.0204544,4.8143
0.00204802,-0.0167751,4.80314
0.00205054,-0.0204544,4.8143
0.00205306,-0.0167751,4.8143
0.00205558,-0.0130959,4.8143
0.0020581,-0.0204544,4.8143
0.00206062,-0.0204544,4.8143
0.00206314,-0.0241336,4.81058
0.00206566,-0.0167751,4.8143
0.00206818,-0.0204544,4.81058
0.0020707,-0.0241336,4.80686
0.00207322,-0.0167751,4.81058
0.00207574,-0.0167751,4.8143
0.00207826,-0.0241336,4.81058
0.00208078,-0.0204544,4.81058
0.0020833,-0.0204544,4.8143
0.00208582,-0.0204544,4.8143
0.00208834,-0.0204544,4.81802
0.00209086,-0.0167751,4.81058
0.00209338,-0.0241336,4.81058
0.0020959,-0.0241336,4.8143
0.00209842,-0.0204544,4.81058
0.00210094,-0.0204544,4.8143
0.00210346,-0.0204544,4.81058
0.00210598,-0.0204544,4.81058
0.0021085,-0.0204544,4.8143
0.00211102,-0.0167751,4.81058
0.00211354,-0.0204544,4.8143
0.00211606,-0.0167751,4.8143
0.00211858,-0.0167751,4.8143
0.0021211,-0.0204544,4.8143
0.00212362,-0.0167751,4.8143
0.00212614,-0.0204544,4.81058
0.00212866,-0.0167751,4.8143
0.00213118,-0.0167751,4.80686
0.0021337,-0.0204544,4.81058
0.00213622,-0.0167751,4.81058
0.00213874,-0.0241336,4.81058
0.00214126,-0.0167751,4.80686
0.00214378,-0.0204544,4.81058
0.0021463,-0.0204544,4.81058
0.00214882,-0.0314921,4.81058
0.00215134,-0.0167751,4.80686
0.00215386,-0.0204544,4.8143
0.00215638,-0.0167751,4.81058
0.0021589,-0.0241336,4.81058
0.00216142,-0.0204544,4.81058
0.00216394,-0.0241336,4.8143
0.00216646,-0.0130959,4.8143
0.00216898,-0.0204544,4.81802
0.0021715,-0.0204544,4.8143
0.00217402,-0.0130959,4.81058
0.00217654,-0.0167751,4.80686
0.00217906,-0.0204544,4.80686
0.00218158,-0.00941663,4.81058
0.0021841,-0.0241336,4.8143
0.00218662,-0.0167751,4.81058
0.00218914,-0.0204544,4.81058
0.00219166,-0.0204544,4.80686
0.00219418,-0.0241336,4.80686
0.0021967,-0.0204544,4.81058
0.00219922,-0.0204544,4.81058
0.00220174,-0.0167751,4.81058
0.00220426,-0.0167751,4.81058
0.00220678,-0.0204544,4.8143
0.0022093,-0.0241336,4.81058
0.00221182,-0.0204544,4.80686
0.00221434,-0.0130959,4.81058
0.00221686,-0.0241336,4.8143
0.00221938,-0.0241336,4.81058
0.0022219,-0.0204544,4.80686
0.00222442,-0.0204544,4.81058
0.00222694,-0.0204544,4.81058
0.00222946,-0.0204544,4.81058
0.00223198,-0.0167751,4.8143
0.0022345,-0.0204544,4.81802
0.00223702,-0.0204544,4.81802
0.00223954,-0.0167751,4.81058
0.00224206,-0.0167751,4.81058
0.00224458,-0.0204544,4.8143
0.0022471,-0.0167751,4.8143
0.00224962,-0.0130959,4.81802
0.00225214,-0.0167751,4.81058
0.00225466,-0.0241336,4.8143
0.00225718,-0.0204544,4.80686
0.0022597,-0.0204544,4.8143
0.00226222,-0.0204544,4.81058
0.00226474,-0.0167751,4.8143
0.00226726,-0.0167751,4.81058
0.00226978,-0.0204544,4.8143
0.0022723,-0.0167751,4.81058
0.00227482,-0.0167751,4.8143
0.00227734,-0.0204544,4.81058
0.00227986,-0.0204544,4.81802
0.00228238,-0.0204544,4.8143
0.0022849,-0.0167751,4.81058
0.00228742,-0.0167751,4.81058
0.00228994,-0.0204544,4.80686
0.00229246,-0.0204544,4.81058
0.00229498,-0.0204544,4.81058
0.0022975,-0.0204544,4.8143
0.00230002,-0.0241336,4.80686
0.00230254,-0.0167751,4.8143
0.00230506,-0.0204544,4.8143
0.00230758,-0.0167751,4.81058
0.0023101,-0.0204544,4.81058
0.00231262,-0.0167751,4.8143
0.00231514,-0.0204544,4.81058
0.00231766,-0.0204544,4.81058
0.00232018,-0.0167751,4.8143
0.0023227,-0.0167751,4.81802
0.00232522,-0.0204544,4.81802
0.00232774,-0.0204544,4.81058
0.00233026,-0.0204544,4.81058
0.00233278,-0.0130959,4.8143
0.0023353,-0.0167751,4.80686
0.00233782,-0.0204544,4.8143
0.00234034,-0.0130959,4.8143
0.00234286,-0.0204544,4.81058
0.00234538,-0.0278129,4.80686
0.0023479,-0.0204544,4.8143
0.00235042,-0.0130959,4.80686
0.00235294,-0.0204544,4.81058
0.00235546,-0.0167751,4.8143
0.00235798,-0.0204544,4.80686
0.0023605,-0.0167751,4.81058
0.00236302,-0.0167751,4.8143
0.00236554,-0.0167751,4.81802
0.00236806,-0.0204544,4.81058
0.00237058,-0.0167751,4.81802
0.0023731,-0.0167751,4.81802
0.00237562,-0.0241336,4.81058
0.00237814,-0.0167751,4.81058
0.00238066,-0.0204544,4.81058
0.00238318,-0.0167751,4.81058
0.0023857,-0.0204544,4.81058
0.00238822,-0.0167751,4.81058
0.00239074,-0.0278129,4.81058
0.00239326,-0.0167751,4.81058
0.00239578,-0.0204544,4.81802
0.0023983,-0.0167751,4.81058
0.00240082,-0.0204544,4.81058
0.00240334,-0.0167751,4.81058
0.00240586,-0.0167751,4.80686
0.00240838,-0.0204544,4.80686
0.0024109,-0.0167751,4.80314
0.00241342,-0.0204544,4.81058
0.00241594,-0.0204544,4.8143
0.00241846,-0.0204544,4.80686
0.00242098,-0.0167751,4.81058
0.0024235,-0.0204544,4.8143
0.00242602,-0.0130959,4.80314
0.00242854,-0.0167751,4.8143
0.00243106,-0.0204544,4.8143
0.00243358,-0.0278129,4.81058
0.0024361,-0.0204544,4.8143
0.00243862,-0.0241336,4.81058
0.00244114,-0.0130959,4.8143
0.00244366,-0.0204544,4.81058
0.00244618,-0.0204544,4.81058
0.0024487,-0.0204544,4.81058
0.00245122,-0.0167751,4.81058
0.00245374,-0.0241336,4.81058
0.00245626,-0.0204544,4.81058
0.00245878,-0.0167751,4.81802
0.0024613,-0.0204544,4.8143
0.00246382,-0.0204544,4.81058
0.00246634,-0.0241336,4.8143
0.00246886,-0.0204544,4.81802
0.00247138,-0.0167751,4.81802
0.0024739,-0.0167751,4.8143
0.00247642,-0.0204544,4.81802
0.00247894,-0.0167751,4.81802
0.00248146,-0.0167751,4.81058
0.00248398,-0.0167751,4.81058
0.0024865,-0.0167751,4.8143
0.00248902,-0.0204544,4.8143
0.00249154,-0.0167751,4.8143
0.00249406,-0.0204544,4.82173
0.00249658,-0.0167751,4.8143
0.0024991,-0.0167751,4.81058
0.00250162,-0.0167751,4.81058
0.00250414,-0.0204544,4.81058
0.00250666,-0.0167751,4.80686
0.00250918,-0.0204544,4.8143
0.0025117,-0.0204544,4.8143
0.00251422,-0.0204544,4.8143
0.00251674,-0.0130959,4.8143
0.00251926,-0.0167751,4.8143
0.00252178,-0.0204544,4.8143
0.0025243,-0.0167751,4.80686
0.00252682,-0.0167751,4.81058
0.00252934,-0.0241336,4.81058
0.00253186,-0.0204544,4.80686
0.00253438,-0.0167751,4.81058
0.0025369,-0.0167751,4.80686
0.00253942,-0.0167751,4.81058
0.00254194,-0.0278129,4.81058
0.00254446,-0.0167751,4.81058
0.00254698,-0.0241336,4.80686
0.0025495,-0.0167751,4.81058
0.00255202,-0.0204544,4.81058
0.00255454,-0.0241336,4.80686
0.00255706,-0.0204544,4.8143
0.00255958,-0.0241336,4.81058
0.0025621,-0.0241336,4.81058
0.00256462,-0.0130959,4.81058
0.00256714,-0.0241336,4.81058
0.00256966,-0.0241336,4.81058
0.00257218,-0.0204544,4.80686
0.0025747,-0.0241336,4.81058
0.00257722,-0.0167751,4.8143
0.00257974,-0.0167751,4.80686
0.00258226,-0.0204544,4.8143
0.00258478,-0.0241336,4.8143
0.0025873,-0.0204544,4.8143
0.00258982,-0.0204544,4.8143
0.00259234,-0.0167751,4.81058
0.00259486,-0.0241336,4.8143
0.00259738,-0.0204544,4.8143
0.0025999,-0.0204544,4.81058
0.00260242,-0.0204544,4.8143
0.00260494,-0.0204544,4.8143
0.00260746,-0.0204544,4.81058
0.00260998,-0.0204544,4.81058
0.0026125,-0.0167751,4.81058
0.00261502,-0.0204544,4.81058
0.00261754,-0.0204544,4.81058
0.00262006,-0.00941663,4.81802
0.00262258,-0.0204544,4.80686
0.0026251,-0.0204544,4.81058
0.00262762,-0.0167751,4.8143
0.00263014,-0.0204544,4.8143
0.00263266,-0.0167751,4.81058
0.00263518,-0.0167751,4.8143
0.0026377,-0.0241336,4.8143
0.00264022,-0.0167751,4.8143
0.00264274,-0.0204544,4.8143
0.00264526,-0.0204544,4.8143
0.00264778,-0.0241336,4.81058
0.0026503,-0.0167751,4.81058
0.00265282,-0.0204544,4.8143
0.00265534,-0.0167751,4.81058
0.00265786,-0.0167751,4.81058
0.00266038,-0.0204544,4.8143
0.0026629,-0.0204544,4.8143
0.00266542,-0.0241336,4.81058
0.00266794,-0.0204544,4.8143
0.00267046,-0.0241336,4.81058
0.00267298,-0.0241336,4.8143
0.0026755,-0.0167751,4.8143
0.00267802,-0.0204544,4.8143
0.00268054,-0.0204544,4.81802
