time,echo,trig
0.00081252,4.8741,-0.00695145
0.000814,4.8736,-0.00711857
0.00081548,4.87343,-0.00644162
0.00081696,4.8741,-0.00695145
0.00081844,4.8746,-0.00711857
0.00081992,4.87427,-0.00695145
0.0008214,4.8751,-0.00728992
0.00082288,4.87544,-0.00694722
0.00082436,4.87577,-0.00728992
0.00082584,4.87577,-0.00728992
0.00082732,4.8751,-0.00695145
0.0008288,4.8746,-0.00729415
0.00083028,4.8746,-0.00711857
0.00083176,4.87376,-0.00695145
0.00083324,4.87393,-0.00610736
0.00083472,4.8736,-0.00661719
0.0008362,4.87393,-0.0071228
0.00083768,4.8741,-0.00728992
0.00083916,4.87443,-0.00728992
0.00084064,4.87527,-0.0067801
0.00084212,4.8751,-0.00695145
0.0008436,4.87493,-0.00746127
0.00084508,4.87443,-0.00711857
0.00084656,4.87443,-0.00695145
0.00084804,4.87477,-0.00728992
0.00084952,4.8751,-0.0071228
0.000851,4.87426,-0.00728992
0.00085248,4.87494,-0.00763262
0.00085396,4.8751,-0.00678432
0.00085544,4.8741,-0.00728992
0.00085692,4.87443,-0.00745705
0.0008584,4.87443,-0.00729415
0.00085988,4.87494,-0.00678432
0.00086136,4.87527,-0.00695145
0.00086284,4.87544,-0.00695145
0.00086432,4.8751,-0.0072857
0.0008658,4.87477,-0.0076284
0.00086728,4.8751,-0.0067801
0.00086876,4.87494,-0.00695145
0.00087024,4.87527,-0.00695145
0.00087172,4.87494,-0.00695145
0.0008732,4.87561,-0.0071228
0.00087468,4.87611,-0.00728992
0.00087616,4.87611,-0.00711857
0.00087764,4.87594,-0.00728992
0.00087912,4.87594,-0.00746127
0.0008806,4.87594,-0.00695567
0.00088208,4.8756,-0.00728992
0.00088356,4.87577,-0.00745705
0.00088504,4.87627,-0.0067801
0.00088652,4.87661,-0.00695145
0.000888,4.87711,-0.00728992
0.00088948,4.87711,-0.00695145
0.00089096,4.87627,-0.00728992
0.00089244,4.87611,-0.0071228
0.00089392,4.87544,-0.00746127
0.0008954,4.87493,-0.00695145
0.00089688,4.8746,-0.00745705
0.00089836,4.87443,-0.0072857
0.00089984,4.8751,-0.00644584
0.00090132,4.87493,-0.0071228
0.0009028,4.8751,-0.00644584
0.00090428,4.8751,-0.00644584
0.00090576,4.8746,-0.00728992
0.00090724,4.87343,-0.00695567
0.00090872,4.87393,-0.00728992
0.0009102,4.87393,-0.0067801
0.00091168,4.87326,-0.0067801
0.00091316,4.87376,-0.00728992
0.00091464,4.8741,-0.00678432
0.00091612,4.87494,-0.00695145
